"152 S Roxbury Dr","4","4000","Rental","1","California","Beverly Hills"
"1750 Kalakaua Ave","1","155000","Condo","2","Hawaii","Honolulu"
"172 Madison Ave","1","98000000","Condo","3","New York","New York City"
"3315 Capri Dr, Philadelphia","1","364900","Condo","4","Pennsylvania","Philadelphia"
"5012 Fisher Island Dr","1","9550000","Condo","5","Florida","Miami"
"917 Main St","1","375000","Condo","6","Texas","Houston"
"300 Pier 4 Blvd","1","2499000","Condo","7","Massachusetts","Boston"
"1709 Broderick","1","5999999","Single Family ","8","California","San Francisco"
"17735 Pierson St","1","0","Single Family","9","Michigan","Detroit"
"1358 Page Rd","1","15999999","Single Family","10","Tennessee","Nashville"
"221 W 13th Ave","1","2300000","Townhouse","11","Alaska","Anchorage"
"1300 Mount Curve Ave","1","5995000","Single Family","12","Minnesota","Minneapolis"
"2044 Random Rd","1","534500","Condo","13","Ohio","Cleveland"
"499 Drake St","1","5900000","Condo","14","British Columbia","Vancouver"
"2033 1st Ave","7","9388000","Condo","15","Washington","Seattle"
