"A House at an address","4000","John M. Smith","0","Top rated school district","https://www.zillow.com/homedetails/152-S-Roxbury-Dr-Beverly-Hills-CA-90212/2085555084_zpid/","152beverlyhills","1","4000"
"A House at an address","200004","John H. Smith","5","Right Across the Beach","https://www.zillow.com/homedetails/1750-Kalakaua-Ave-APT-3202-Honolulu-HI-96826/82516440_zpid/","1750honolulu","2","155000"
"Live in Midtown Manhattan","1000000000","Rich Man","1","Most Innovative Design","https://www.zillow.com/homedetails/172-Madison-Ave-LE-PENTHOU-New-York-NY-10016/2084024038_zpid/","172newyork","3","98000000"
"Live near Philadelphia sports. WARNING INSURANCE DOES NOT COVER RIOTERS","364900","Rioter 9855470","0","Very Durable, has survived sever seasons of Philadelphia sports.","https://www.zillow.com/homedetails/3315-Capri-Dr-Philadelphia-PA-19145/71250130_zpid/","3315philadelphia","4","364900"
"Live on the beaches of Miami before they're gone.","9550000","Broman Tan","0","More prepared for climate change than other buildings in the area.","https://www.zillow.com/homedetails/5012-Fisher-Island-Dr-5012-3-Miami-Beach-FL-33109/2125355735_zpid/","5012miami","5","9550000"
"Live in the heart of Texas.","375000","John A. Smith","0","Live near the amenities of the fastest growing city in America","https://www.zillow.com/homedetails/917-Main-St-APT-1108-Houston-TX-77002/80529847_zpid/","917houston","6","375000"
"Live in the heart of Boston and witness the monthly sports parades!","2499000","Kyrie Irving","0","Cleaned of all imperfection after the heritic was sent into exile.","https://www.zillow.com/homedetails/300-Pier-4-Blvd-7R-Boston-MA-02210/2085308254_zpid/","300boston","7","2499000"
"Looking for that California life!  Here it is!","5999999","Tech Bro","0","Once you pay prop 13 kicks into affect immediately.","https://www.zillow.com/homedetails/1709-Broderick-St-San-Francisco-CA-94115/15083084_zpid/","1709sanfrancisco","8","5999999"
"Take part in the great revitalization of Detroit","0","Bank of America","0","Cheap land and easy construction laws.","https://www.zillow.com/homedetails/17735-Pierson-St-Detroit-MI-48219/88719147_zpid/","17735detroit","9","0"
"Mix old housing and new in this clasic building!","15999999","Jane Smith","0","Come for the low taxes, live luxuriously.","https://www.zillow.com/homedetails/1358-Page-Rd-Nashville-TN-37205/41173570_zpid/","1358nashville","10","15999999"
"Enjoy Alaskan company in this moden townhouse!","2300000","Bear Wild","0","Some of the warmest places in Alaska.","https://www.zillow.com/homedetails/221-W-13th-Ave-243-Anchorage-AK-99501/2112346994_zpid/?","221anchorage","11","2300000"
"Live as a king in this home made for god!","2000000000","Vikings Fan","1","It has a pool.","https://www.zillow.com/homedetails/1300-Mount-Curve-Ave-Minneapolis-MN-55403/1951063_zpid/","1300mineapolis","12","5995000"
"Watch as our great city breaks the curse that has strangled us for so long!","534500","Johnny Football","0","Cleaned of all imperfection after the heritic was sent into exile.","https://www.zillow.com/homedetails/2044-Random-Rd-102-Cleveland-OH-44106/2095008065_zpid/?","2044cleveland","13","534500"
"Welcome to Canada, where we elect our leaders through hockey!","5900000","Sorry About That","0","Enjoy the best Asian food in North America.","https://www.zillow.com/homedetails/499-Drake-St-PENTHOUSE-601-Vancouver-BC-V6B-1B1/2083794147_zpid/","499vancouver","14","5900000"
"Welcome to the greatest city on Earth!","2000000012","Jeff Bezos","3","Great Air. Great Transport, Great Lifestyle.","https://www.zillow.com/homedetails/2033-1st-Ave-APT-3-Seattle-WA-98121/2091373882_zpid/","2033seattle","15","9388000"
